first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
John,Rutherford,R000609,rep,Republican,FL,2025-01-03,2027-01-03,Reprutherfordfl,UCXRvZ7q1YM__Jyqcbt4aedw,RepRutherfordFL,8.29e+17,reprutherfordfl,,RepRutherfordFL,https://www.youtube.com/channel/UCXRvZ7q1YM__Jyqcbt4aedw
Mike,Johnson,J000299,rep,Republican,LA,2025-01-03,2027-01-03,,UCzqBEpeIaDEfvAtsA53Fx2Q,RepMikeJohnson,8.27e+17,RepMikeJohnson,,RepMikeJohnson,https://www.youtube.com/channel/UCzqBEpeIaDEfvAtsA53Fx2Q
J.,Correa,C001110,rep,Democrat,CA,2025-01-03,2027-01-03,,UCIKJJp4QJIDjnjodc23qKkw,RepLouCorrea,8.16e+17,reploucorrea,,RepLouCorrea,https://www.youtube.com/channel/UCIKJJp4QJIDjnjodc23qKkw
Don,Bacon,B001298,rep,Republican,NE,2025-01-03,2027-01-03,,UCR9abI1lZzAZ6HwQXc-dLFQ,RepDonBacon,8.19e+17,RepDonBacon,,RepDonBacon,https://www.youtube.com/channel/UCR9abI1lZzAZ6HwQXc-dLFQ
Lloyd,Smucker,S001199,rep,Republican,PA,2025-01-03,2027-01-03,,UCs5iMvWy-oTHyf5HuwB7FCg,RepSmucker,41417564.0,,,RepSmucker,https://www.youtube.com/channel/UCs5iMvWy-oTHyf5HuwB7FCg
Ron,Estes,E000298,rep,Republican,KS,2025-01-03,2027-01-03,,UC2clc28qcehIqotHQcthnWA,RepRonEstes,8.55e+17,RepRonEstes,,RepRonEstes,https://www.youtube.com/channel/UC2clc28qcehIqotHQcthnWA
Jimmy,Gomez,G000585,rep,Democrat,CA,2025-01-03,2027-01-03,,UCOmm091WM6D01xTdzsWNvbQ,RepJimmyGomez,2371339658.0,repjimmygomez,,RepJimmyGomez,https://www.youtube.com/channel/UCOmm091WM6D01xTdzsWNvbQ
Ralph,Norman,N000190,rep,Republican,SC,2025-01-03,2027-01-03,,UCVVIZjUpGRB1pgQGDBVBU8Q,RepRalphNorman,8.8e+17,repralphnorman,,RepRalphNorman,https://www.youtube.com/channel/UCVVIZjUpGRB1pgQGDBVBU8Q
Michael,Cloud,C001115,rep,Republican,TX,2025-01-03,2027-01-03,RepCloudTX,UCv_kM3OZukHS0rjWpw_JMWg,RepCloudTX,1.04e+18,repcloudtx,,RepCloudTX,https://www.youtube.com/channel/UCv_kM3OZukHS0rjWpw_JMWg
Troy,Balderson,B001306,rep,Republican,OH,2025-01-03,2027-01-03,,UCm6vJzx-mu4Xr56FnQKRz0w,RepBalderson,1.04e+18,,,RepTroyBalderson,https://www.youtube.com/channel/UCm6vJzx-mu4Xr56FnQKRz0w
